timestamp,key,event
73570.997220669,RIGHT,release
73571.126705035,RIGHT,press
73571.627549685,RIGHT,press
73571.658677397,RIGHT,press
73571.688426031,RIGHT,press
73571.720425642,RIGHT,press
73571.759766065,RIGHT,press
73571.7902062,RIGHT,press
73571.820870744,RIGHT,press
73571.860903616,RIGHT,press
73571.890882222,RIGHT,press
73571.922847495,RIGHT,press
73571.960528551,RIGHT,press
73571.990886476,RIGHT,press
73572.022478863,RIGHT,press
73572.061374359,RIGHT,press
73572.092324268,RIGHT,press
73572.123617829,RIGHT,press
73572.16072067,RIGHT,press
73572.19128522,RIGHT,press
73572.221516519,RIGHT,press
73572.260935726,RIGHT,press
73572.290827562,RIGHT,press
73572.322140884,RIGHT,press
73572.361343469,RIGHT,press
73572.39216235,RIGHT,press
73572.425062967,RIGHT,press
73572.460736465,RIGHT,press
73572.491785921,RIGHT,press
73572.521673098,RIGHT,press
73572.564232705,RIGHT,press
73572.594190007,RIGHT,press
73572.626488843,RIGHT,press
73572.665292786,RIGHT,press
73572.695633561,RIGHT,press
73572.72817393,RIGHT,press
73572.766352072,RIGHT,press
73572.797213305,RIGHT,press
73572.828560587,RIGHT,press
73572.864470767,RIGHT,release
73573.177523276,RIGHT,press
73573.32685187,UP,press
73573.473146378,RIGHT,release
73573.570494712,UP,release
73573.773384832,JUMP,press
73573.775837938,UP,press
73574.04020303,JUMP,release
73574.04025296,RIGHT,press
73574.124190237,UP,release
73574.277174571,RIGHT,release
73574.373511139,DOWN,press
73574.439733756,RIGHT,press
73574.50064031,JUMP,press
73574.627980945,DOWN,release
73574.726934263,JUMP,release
73574.801611007,RIGHT,release
73574.903743671,LEFT,press
73575.114440322,LEFT,release
73575.252180194,RIGHT,press
73575.352912601,LEFT,press
73575.414418357,RIGHT,release
73575.414590522,JUMP,press
73575.685834542,JUMP,release
73575.878200125,LEFT,release
73576.075776486,LEFT,press
73576.211371626,JUMP,press
73576.2772753,RIGHT,press
73576.325840758,LEFT,release
73576.41538632,JUMP,release
73576.613072381,RIGHT,release
73576.716387823,RIGHT,press
73576.989846848,JUMP,press
73577.280987653,JUMP,release
73577.50267123,RIGHT,release
73577.556053367,RIGHT,press
73578.055665007,RIGHT,press
73578.087751888,RIGHT,press
73578.116899761,RIGHT,press
73578.147949815,RIGHT,press
73578.189641106,UP,press
73578.24082404,RIGHT,release
73578.340215409,UP,release
73578.416516352,RIGHT,press
73578.918537394,RIGHT,press
73578.954667556,RIGHT,press
73578.9845986,RIGHT,press
73579.015811391,RIGHT,press
73579.057865469,RIGHT,press
73579.087540078,RIGHT,press
73579.107117284,RIGHT,release
73579.210354078,LEFT,press
